pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
756910,SG,nse_cm,,684HP35,684HP35-SG,,684HP35-SG,IN1720250019,,,,SDL HP 6.84% 2035,,,1,100,-1,-1,2,-1,NSE,,,1428537600,,1428537600,0,0,0,0,0,95.00-105.00,0,0,1465577420,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999989.00,100,0,10500,9500,1,1,1,0,0,1,0,9e+07,0,0,999989,
756927,BL,nse_cm,,PRIMO,PRIMO-BL,,PRIMO-BL,INE607A01022,,,,PRIMO CHEMICALS LIMITED,,,1,1,-1,-1,2,-1,NSE,,,1429747200,,1429747200,0,0,0,0,0,23.54-24.98,0,0,1465579315,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,0,1,4053432.00,1,0,2498,2354,1,1,1,0,0,1,0,2.42343e+08,0,0,4053432,
756994,N0,nse_cm,,727TCHFL28,727TCHFL28-N0,,727TCHFL28-N0,INE033L07IN3,,,,TCHFL 7.27% 2028 SR A,,,1,1,-1,-1,2,-1,NSE,,,1430352000,,1430352000,0,0,0,0,1460246400,80000.00-120000.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,159500,0,0,999,
757035,SG,nse_cm,,668HR38,668HR38-SG,,668HR38-SG,IN1620250069,,,,SDL HR 6.68% 2038,,,1,100,-1,-1,2,-1,NSE,,,1433030400,,1433030400,0,0,0,0,0,95.00-105.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,
757039,SG,nse_cm,,689RJ48,689RJ48-SG,,689RJ48-SG,IN2920250056,,,,SDL RJ 6.89% 2048,,,1,100,-1,-1,2,-1,NSE,,,1433030400,,1433030400,0,0,0,0,0,95.00-105.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,999900.00,100,0,10500,9500,1,1,1,0,0,1,0,1.5e+08,0,0,999900,
757115,SG,nse_cm,,683MN40,683MN40-SG,,683MN40-SG,IN2320250011,,,,SDL MN 6.83% 2040,,,1,100,-1,-1,2,-1,NSE,,,1431820800,,1431820800,0,0,0,0,0,95.00-105.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000,,,,0,20,,0.0000,T+1,315513000,0,1,1000000.00,100,0,10500,9500,1,1,1,0,0,1,0,5e+07,0,0,1000000,
757123,N0,nse_cm,,708TML28,708TML28-N0,,708TML28-N0,INE155A08480,,,,TML 7.08% 2028 E31B TR I,,,1,1,-1,-1,2,-1,NSE,,,1431820800,,1431820800,0,0,0,0,1461801600,80000.00-120000.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,980.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,30000,0,0,980,
757148,N0,nse_cm,,738ABCL28,738ABCL28-N0,,738ABCL28-N0,INE674K07036,,,,ABCL 7.3789% 2028 SR B2,,,1,1,-1,-1,2,-1,NSE,,,1432857600,,1432857600,0,0,0,0,1454198400,80000.00-120000.00,0,0,1465577421,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,999.00,1,0,1.2e+07,8e+06,1,1,1,0,0,1,0,72000,0,0,999,
757169,BL,nse_cm,,MONEXT50,MONEXT50-BL,,MONEXT50-BL,INF247L01FD8,,,,MOTILALAMC - MONEXT50,,,1,1,-1,-1,2,-1,NSE,,,1431648000,,1431648000,0,0,0,0,0,67.55-71.71,0,0,1465579315,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,0,1,16022.00,1,0,7171,6755,1,1,1,0,0,1,0,490000,0,0,16022,
757172,N0,nse_cm,,930APMD33,930APMD33-N0,,930APMD33-N0,INE0TLC07028,,,,APMD 9.30% 2033 STRPP G,,,1,1,-1,-1,2,-1,NSE,,,1431648000,,1431648000,0,0,0,0,1461369600,83995.08-125992.62,0,0,1465577421,,,,,,,,,,CASH,,,,,10000000,,,,0,20,,0.0000,T+1,315513000,0,1,952.00,1,0,1.25993e+07,8.39951e+06,1,1,1,0,0,1,0,38597,0,0,952,
