pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty,surveillanceMessage
762817,EQ,nse_cm,,NILE,NILE-EQ,,NILE,INE445D01013,,,,NILE LTD.,,,10,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,1340.50-2010.70,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,59677.00,1,0,201070,134050,1,1,1,0,0,1,0,3.0019e+06,0,0,59677,
762826,BL,nse_cm,,NITTAGELA,NITTAGELA-BL,,NITTAGELA-BL,INE265B01019,,,,NITTA GELATIN INDIA LTD.,,,10,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,1284.10-1363.50,0,0,1465675840,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,68674.00,1,0,136350,128410,1,1,1,0,0,1,0,9.07916e+06,0,0,68674,
762851,BL,nse_cm,,PREMCO,PREMCO-BL,,PREMCO-BL,INE001E01012,,,,PREMCO GLOBAL LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,357.05-379.05,0,0,1465675840,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,108066.00,1,0,37905,35705,1,1,1,0,0,1,0,3.3048e+06,0,0,108066,
762866,BL,nse_cm,,RRIL,RRIL-BL,,RRIL-BL,INE951M01037,,,,R R I L LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,19.58-20.78,0,0,1465675840,,,,,,,,,,CASH,,,,,500,,,,0,20,,0.0000,T+1,315513000,1,1,3963707.00,1,0,2078,1958,1,1,1,0,0,1,0,1.21214e+08,0,0,3963707,
762874,EQ,nse_cm,,SAPPL,SAPPL-EQ,,SAPPL,INE185C01017,,,,SHREE AJIT PULP & PAPER L,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,216.40-324.50,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,289419.00,1,0,32450,21640,1,1,1,0,0,1,0,8.85074e+06,0,0,289419,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762879,EQ,nse_cm,,SAYAJIHOTL,SAYAJIHOTL-EQ,,SAYAJIHOTL,INE318C01014,,,,SAYAJI HOTELS LTD.,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,267.90-296.10,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,354598.00,1,0,29610,26790,1,1,1,0,0,1,0,1.7518e+07,0,0,354598,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762884,EQ,nse_cm,,SCANSTL,SCANSTL-EQ,,SCANSTL,INE099G01011,,,,SCAN STEELS LTD.,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,26.80-40.18,0,0,1465682620,,,,,,,,,,CASH,,,,,1000,,,,0,20,,0.0000,T+1,315513000,1,1,1916295.00,1,0,4018,2680,1,1,1,0,0,1,0,5.86023e+07,0,0,1916295,Average daily number of unique Clients/PAN traded in the scrip in previous 30 days is less than 100
762889,EQ,nse_cm,,SEIL,SEIL-EQ,,SEIL,INE440T01028,,,,SHANTI EDU INITIATIVES L,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,153.28-229.92,0,0,1465682620,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,521800.00,1,0,22992,15328,1,1,1,0,0,1,0,1.61e+08,0,0,521800,
762891,BL,nse_cm,,SEIL,SEIL-BL,,SEIL-BL,INE440T01028,,,,SHANTI EDU INITIATIVES L,,,1,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,185.86-197.34,0,0,1465675840,,,,,,,,,,CASH,,,,,100,,,,0,20,,0.0000,T+1,315513000,1,1,506989.00,1,0,19734,18586,1,1,1,0,0,1,0,1.61e+08,0,0,506989,
762914,EQ,nse_cm,,SIKA,SIKA-EQ,,SIKA,INE438E01032,,,,SIKA INTERPLANT SYSTEMS L,,,5,1,-1,-1,2,-1,NSE,,,1461110400,,1461110400,0,0,0,0,0,710.80-1066.10,0,0,1465682620,,,,,,,,,,CASH,,,,,200,,,,0,20,,0.0000,T+1,315513000,1,1,112555.00,1,0,106610,71080,1,1,1,0,0,1,0,2.12009e+07,0,0,112555,
